
-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : ONE PERSISTENT METHOD ########
-----------------------------------------------------------------------------


24/09/2021 20:40:25 CHANNEL has been initialised

24/09/2021 20:40:25 SENDER-1 starts sending data to RECEIVER1
24/09/2021 20:40:25 SENDER-2 starts sending data to RECEIVER2
24/09/2021 20:40:25 SENDER-3 starts sending data to RECEIVER3
24/09/2021 20:40:25 SENDER-1    ||  PACKET 1 SENT TO CHANNEL
24/09/2021 20:40:25 SENDER-4 starts sending data to RECEIVER4
24/09/2021 20:40:25 SENDER-5 starts sending data to RECEIVER5
24/09/2021 20:40:25 SENDER-6 starts sending data to RECEIVER6
24/09/2021 20:40:25 SENDER-7 starts sending data to RECEIVER7
24/09/2021 20:40:25 SENDER-4    ||  COLLISION
24/09/2021 20:40:25 SENDER-9 starts sending data to RECEIVER9
24/09/2021 20:40:25 SENDER-2    ||  COLLISION
24/09/2021 20:40:25 SENDER-5    ||  COLLISION
24/09/2021 20:40:25 SENDER-8 starts sending data to RECEIVER8
24/09/2021 20:40:25 SENDER-3    ||  COLLISION
24/09/2021 20:40:25 SENDER-6    ||  COLLISION
24/09/2021 20:40:25 SENDER-9    ||  COLLISION
24/09/2021 20:40:25 SENDER-8    ||  COLLISION
24/09/2021 20:40:25 SENDER-7    ||  COLLISION
24/09/2021 20:40:25 SENDER-4    ||  PACKET 1 SENT TO CHANNEL
24/09/2021 20:40:25 SENDER-2    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:25 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:25 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:25 SENDER-3    ||  COLLISION
24/09/2021 20:40:25 SENDER-9    ||  COLLISION
24/09/2021 20:40:25 SENDER-7    ||  COLLISION
24/09/2021 20:40:25 SENDER-8    ||  COLLISION
24/09/2021 20:40:26 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:26 SENDER-9    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:26 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:26 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:26 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:26 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:26 SENDER-2    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:26 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:26 SENDER-9    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:26 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:26 SENDER-8    ||  FOUND CHANNEL BUSY

24/09/2021 20:40:26 RECEIVER-1  ||  PACKET RECEIVED

24/09/2021 20:40:26 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:26 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:26 SENDER-2    ||  FOUND CHANNEL BUSY
